event,type,extras,date,calendar_system
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2011-07-03,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2011-07-15,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2011-08-05,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2011-08-07,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2011-08-13,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2011-08-15,gregorian_fixed
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2011-08-22,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2011-08-26,islamic
Ramadan,Religional Festival,based on Islamic calendar,2011-08-31,islamic
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2011-09-01,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2011-09-05,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2011-09-09,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2011-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2011-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2011-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2011-09-28,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2011-10-02,gregorian_fixed
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2011-10-04,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2011-10-05,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2011-10-06,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2011-10-11,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2011-10-15,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2011-10-26,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2011-10-27,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2011-10-28,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2011-11-01,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2011-11-07,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2011-11-10,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2011-11-14,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2011-11-27,islamic
World AIDS Day,Good to know,fixed day in Gregorian calendar,2011-12-01,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2011-12-06,islamic
Shortest Day of Year,Religional Festival,Astronomy Event,2011-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2011-12-25,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2011-12-31,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2012-01-01,gregorian_fixed
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2012-01-04,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2012-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2012-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2012-01-15,other
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2012-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2012-01-26,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2012-01-28,hindu_lunar
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2012-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2012-02-04,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2012-02-05,islamic
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2012-02-07,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2012-02-14,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2012-02-16,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2012-02-19,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2012-02-20,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2012-02-23,hindu_lunar
Holika Dahan,Religional Festival,"Phalguna, Shukla Purnima",2012-03-07,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2012-03-08,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2012-03-10,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2012-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2012-03-23,gregorian_fixed
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2012-04-01,gregorian_fixed
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2012-04-05,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2012-04-06,other
Easter,Religional Festival,based on Christian calendar,2012-04-08,other
Baisakhi,Religional Festival,observed on Mesha Sankranti,2012-04-13,other
Ambedkar Jayanti,Government Holiday,fixed day in Gregorian calendar,2012-04-14,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2012-04-16,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2012-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2012-04-26,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2012-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2012-05-06,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2012-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2012-05-13,other
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2012-05-24,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2012-05-31,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2012-06-03,islamic
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2012-06-04,hindu_lunar
World Environment Day,Good to know,fixed day in Gregorian calendar,2012-06-05,gregorian_fixed
Father's Day,Good to know,3rd Sunday of June,2012-06-17,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2012-06-21,gregorian_fixed
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2012-07-03,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2012-07-25,hindu_lunar
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2012-08-02,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2012-08-05,other
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2012-08-09,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2012-08-10,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2012-08-15,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2012-08-17,islamic
Ramadan,Religional Festival,based on Islamic calendar,2012-08-19,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2012-08-29,other
Teachers' Day,Good to know,fixed day in Gregorian calendar,2012-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2012-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2012-09-15,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2012-09-19,hindu_lunar
Autumnal Equinox,Religional Festival,Astronomy Event,2012-09-22,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2012-10-02,gregorian_fixed
