event,type,extras,date,calendar_system
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2014-07-25,islamic
Ramadan,Religional Festival,based on Islamic calendar,2014-07-29,islamic
Friendship Day,Good to know,1st Sunday of August,2014-08-03,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2014-08-10,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2014-08-15,gregorian_fixed
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2014-08-17,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2014-08-18,hindu_lunar
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2014-08-29,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2014-09-05,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2014-09-06,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2014-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2014-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2014-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2014-09-25,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2014-10-02,gregorian_fixed
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2014-10-03,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2014-10-04,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2014-10-05,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2014-10-08,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2014-10-11,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2014-10-22,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2014-10-23,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2014-10-24,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2014-10-25,islamic
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2014-10-29,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2014-11-03,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2014-11-06,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2014-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2014-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2014-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2014-12-25,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2014-12-28,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2015-01-01,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2015-01-03,islamic
National Youth Day,Good to know,fixed day in Gregorian calendar,2015-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2015-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2015-01-15,other
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2015-01-23,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2015-01-24,hindu_lunar
Republic Day,Government Holiday,fixed day in Gregorian calendar,2015-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2015-01-30,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2015-02-03,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2015-02-04,gregorian_fixed
Valentine's Day,Good to know,fixed day in Gregorian calendar,2015-02-14,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2015-02-17,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2015-02-19,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2015-02-20,hindu_lunar
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2015-03-05,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2015-03-06,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2015-03-08,gregorian_fixed
Parsi New Year,Religional Festival,based on Parsi calendar,2015-03-21,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2015-03-23,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2015-03-28,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2015-04-01,gregorian_fixed
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2015-04-02,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2015-04-03,other
Easter,Religional Festival,based on Christian calendar,2015-04-05,other
Baisakhi,Religional Festival,observed on Mesha Sankranti,2015-04-14,other
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2015-04-15,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2015-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2015-04-23,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2015-05-01,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2015-05-02,islamic
World Laughter Day,Good to know,1st Sunday of May,2015-05-03,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2015-05-04,hindu_lunar
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2015-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2015-05-10,other
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2015-05-21,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2015-05-31,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2015-06-02,hindu_lunar
World Environment Day,Good to know,fixed day in Gregorian calendar,2015-06-05,gregorian_fixed
International Yoga Day,Good to know,fixed day in Gregorian calendar,2015-06-21,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2015-07-17,islamic
Ramadan,Religional Festival,based on Islamic calendar,2015-07-18,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2015-07-31,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2015-08-02,other
Independence Day,Government Holiday,fixed day in Gregorian calendar,2015-08-15,gregorian_fixed
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2015-08-22,hindu_lunar
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2015-08-28,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2015-08-29,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2015-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2015-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2015-09-15,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2015-09-17,hindu_lunar
Autumnal Equinox,Religional Festival,Astronomy Event,2015-09-23,astronomy
Bakrid,Religional Festival,based on Islamic calendar,2015-09-24,islamic
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2015-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2015-10-13,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2015-10-15,islamic
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2015-10-21,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2015-10-22,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2015-10-23,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2015-10-24,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2015-10-27,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2015-10-30,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2015-11-10,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2015-11-11,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2015-11-12,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2015-11-13,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2015-11-14,gregorian_fixed
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2015-11-17,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2015-11-25,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2015-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2015-12-22,astronomy
Eid-e-Milad,Religional Festival,based on Islamic calendar,2015-12-24,islamic
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2015-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2016-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2016-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2016-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2016-01-15,other
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2016-01-16,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2016-01-20,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2016-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2016-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2016-01-30,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2016-01-31,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2016-02-04,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2016-02-12,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2016-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2016-02-19,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2016-02-22,hindu_lunar
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2016-03-04,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2016-03-07,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2016-03-08,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2016-03-10,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2016-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2016-03-23,gregorian_fixed
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2016-03-24,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2016-03-25,other
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2016-03-26,hindu_lunar
Easter,Religional Festival,based on Christian calendar,2016-03-27,other
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2016-04-01,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2016-04-08,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2016-04-13,other
Ambedkar Jayanti,Government Holiday,fixed day in Gregorian calendar,2016-04-14,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2016-04-15,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2016-04-19,hindu_lunar
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2016-04-21,islamic
Earth Day,Good to know,fixed day in Gregorian calendar,2016-04-22,gregorian_fixed
International Workers' Day,Good to know,fixed day in Gregorian calendar,2016-05-01,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2016-05-03,hindu_lunar
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2016-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2016-05-08,other
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2016-05-11,hindu_lunar
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2016-05-21,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2016-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2016-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2016-06-07,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2016-06-19,other
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2016-06-20,hindu_lunar
International Yoga Day,Good to know,fixed day in Gregorian calendar,2016-06-21,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2016-07-01,islamic
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2016-07-06,hindu_lunar
Ramadan,Religional Festival,based on Islamic calendar,2016-07-07,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2016-07-19,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2016-08-07,other
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2016-08-10,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2016-08-15,gregorian_fixed
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2016-08-18,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2016-08-25,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2016-09-05,gregorian_fixed
Bakrid,Religional Festival,based on Islamic calendar,2016-09-13,islamic
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2016-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2016-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2016-09-22,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2016-10-01,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2016-10-02,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2016-10-03,islamic
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2016-10-09,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2016-10-10,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2016-10-11,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2016-10-12,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2016-10-16,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2016-10-19,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2016-10-29,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2016-10-30,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2016-10-31,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2016-11-01,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2016-11-06,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2016-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2016-12-01,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2016-12-12,islamic
Shortest Day of Year,Religional Festival,Astronomy Event,2016-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2016-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2017-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2017-01-05,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2017-01-08,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2017-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2017-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2017-01-14,other
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2017-01-19,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2017-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2017-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2017-01-30,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2017-02-01,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2017-02-04,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2017-02-10,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2017-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2017-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2017-02-21,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2017-02-24,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2017-02-28,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2017-03-08,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2017-03-12,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2017-03-13,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2017-03-15,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2017-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2017-03-23,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2017-03-28,hindu_lunar
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2017-03-29,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2017-04-01,gregorian_fixed
Rama Navami *Smarta,Religional Festival,"Chaitra, Shukla Navami",2017-04-04,hindu_lunar
Rama Navami *ISKCON,Religional Festival,"Chaitra, Shukla Navami",2017-04-05,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2017-04-09,hindu_lunar
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2017-04-10,islamic
Good Friday,Religional Festival,based on Christian calendar,2017-04-14,other
Easter,Religional Festival,based on Christian calendar,2017-04-16,other
Earth Day,Good to know,fixed day in Gregorian calendar,2017-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2017-04-30,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2017-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2017-05-07,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2017-05-10,hindu_lunar
Mother's Day,Good to know,2nd Sunday of May,2017-05-14,other
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2017-05-28,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2017-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2017-06-05,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2017-06-09,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2017-06-18,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2017-06-21,gregorian_fixed
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2017-06-23,islamic
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2017-06-25,hindu_lunar
Ramadan,Religional Festival,based on Islamic calendar,2017-06-26,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2017-07-09,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2017-07-30,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2017-08-06,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2017-08-07,hindu_lunar
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2017-08-14,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2017-08-15,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2017-08-25,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2017-09-02,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2017-09-04,other
Teachers' Day,Good to know,fixed day in Gregorian calendar,2017-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2017-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2017-09-15,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2017-09-21,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2017-09-22,islamic
Autumnal Equinox,Religional Festival,Astronomy Event,2017-09-23,astronomy
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2017-09-28,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2017-09-29,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2017-09-30,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2017-10-01,islamic
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2017-10-02,gregorian_fixed
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2017-10-05,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2017-10-08,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2017-10-18,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2017-10-19,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2017-10-20,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2017-10-21,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2017-10-26,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2017-11-04,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2017-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2017-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2017-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2017-12-25,gregorian_fixed
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2017-12-29,hindu_lunar
English New Year,Religional Festival,first day of Gregorian calendar,2018-01-01,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2018-01-08,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2018-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2018-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2018-01-14,other
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2018-01-22,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2018-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2018-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2018-01-30,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2018-01-31,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2018-02-04,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2018-02-10,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2018-02-13,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2018-02-14,gregorian_fixed
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2018-02-17,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2018-02-19,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2018-03-01,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2018-03-02,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2018-03-04,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2018-03-08,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2018-03-18,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2018-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2018-03-23,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2018-03-25,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2018-03-29,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2018-03-30,other
Easter,Religional Festival,based on Christian calendar,2018-04-01,other
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2018-04-12,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2018-04-14,other
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2018-04-20,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2018-04-22,gregorian_fixed
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2018-04-30,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2018-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2018-05-06,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2018-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2018-05-13,other
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2018-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2018-06-05,gregorian_fixed
Ramadan,Religional Festival,based on Islamic calendar,2018-06-15,islamic
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2018-06-16,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2018-06-17,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2018-06-21,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2018-06-28,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2018-07-14,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2018-07-27,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2018-08-05,other
Independence Day,Government Holiday,fixed day in Gregorian calendar,2018-08-15,gregorian_fixed
